mineral,name,key,type,internationalCompanyName,officeCountry,oreOutputs,oreUnits,grossRevenues,netProfit,totalTax,CSR,CSRpercent
Diamond,Anjin Investments,anjin,International Company,Anhui Foreign Economic Construction Group,China,853510,carats,10317834.60,,,,
Diamond,RioZim,riod,Local Company,RZM Murowa,,3550333,carats,320130566.00,-45150188.00,61147523.00,2630000.00,0.008215398
Diamond,Zimbabwe Consolidated Diamond Mining Company,zcdmc,Local Company (GoZ),Defold Mine (Pvt) Ltd,Zimbabwe,11584844,carats,499484467.00,201024692.00,192974762.00,5000000.00,0.010010321
