mineral,name,key,type,internationalCompanyName,officeCountry,oreOutputs,oreUnits,grossRevenues,netProfit,totalTax,CSR,CSRpercent
Platinum,Mimosa,mimosa,International Company,Sibanye Still Water,South Africa,1247000.00,ounces,2762106332.00,1644700304.00,321648492.00,5501044.00,0.001991612
Platinum,Unki Mine (Pvt) Limited,unki,International Company,Anglo-American,United Kingdom,1055800.00,ounces,1509348045.60,472760383.00,314800000.00,13200000.00,0.008745498
Platinum,Zimplats,zimplats,International Company,Implats Pvt Ltd,South Africa,3821618.00,ounces,3455690000.00,976936000.00,422852000.00,24452489.00,0.007076008
